"lag","rho_Tdelta","rho_Gv","nu_Tdelta","nu_Gv"
0,0.615653856700862,-0.809902704362622,5.09880930181629,-0.0988512691605185
1,0.0429088159916767,-0.294648969299324,0.355368309200065,-0.0359628686448192
2,0.00679236948059644,-0.022046849574191,0.0562540075272621,-0.00269088996698058
3,0.00728615319930803,-0.0291483278877391,0.0603434954605365,-0.00355764857937783
4,-0.0132265033029347,-0.0267403271276004,-0.109541128245177,-0.00326374422519181
5,-0.0192595137429471,0.0397299312482737,-0.15950616852663,0.00484916781533994
6,-0.0170041229521914,0.070001737884381,-0.140827153658176,0.00854394064378231
7,0.0511783158049699,0.0718762861810292,0.423855823913832,0.00877273538323461
8,-0.020898805600547,0.0931029045886893,-0.173082687996049,0.0113635134585277
9,-0.0342355079338709,0.0699329702041741,-0.283536478177936,0.0085355473239069
10,-0.00913266545578997,0.0778869312798097,-0.0756362021768083,0.0095063542405213
