"lag","pacf_Tdelta","pacf_Gv"
1,0.962709202136532,0.687370687506953
2,-0.166117141906905,-0.0870830721747446
3,-0.0280236489101134,0.00475098640144027
4,-0.0291310070980191,-0.147978599613328
5,-0.012156807300287,-0.0676311534832169
6,-0.0136988919561243,-0.0576460124516121
7,-0.00102231962253714,-0.0307926683855889
8,-0.00812438484875359,-0.0282159957771815
9,0.00319281032881011,-0.0390215310536518
10,-0.0601876125082773,-0.0620719685834501
11,0.00674318376735277,-0.0559043472045252
12,0.0697094833939599,-0.0405274515442495
13,-0.0971803009578775,-0.0553909177885266
14,-0.0722988254700083,-0.0364219776230675
15,-0.0699591762772564,-0.0622736415486839
16,-0.010119326797127,-0.0550118149329319
17,-0.00445465733156191,-0.0403471437876861
18,0.0944793863852191,0.0223220451747453
19,0.0837167108329527,0.0800000199400633
20,0.0075256322134802,0.118448792969259
